11:40:10 c:\jk\workspace\build__4.44__designer_win\fmod4\tools\fmod_designer\src\eventform.ui.h:1638 BZ: Add Event Group
11:40:14 c:\jk\workspace\build__4.44__designer_win\fmod4\tools\fmod_designer\src\eventform.ui.h:1428 BY: Add Event
11:40:22 c:\jk\workspace\build__4.44__designer_win\fmod4\tools\fmod_designer\src\newsounddialog.ui.h:178 ED: Add Sound File
11:40:23 ..\..\src\eventlayerstackwidget.cpp:1334 CV: Add Sound
11:40:36 ..\..\src\categorylistview.cpp:409 CD: Move Event to Category
11:47:38 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:38 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:39 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:39 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:42 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:42 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:42 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:42 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:45 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:45 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:45 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:46 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade In Time
11:47:50 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:50 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:50 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:50 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:51 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:52 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:52 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:52 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:53 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
11:47:53 ..\..\src\propertyeditor.cpp:3444 EQ: Set Fade Out Time
